Events
100
Subject,Context,Name,Time (s),Description
HC032A,Left,Foot Strike,2.33,The instant the heel strikes the ground
HC032A,Left,Foot Strike,1.21,The instant the heel strikes the ground
HC032A,Left,Foot Strike,3.34,The instant the heel strikes the ground
HC032A,Left,Foot Off,2.96,The instant the toe leaves the ground
HC032A,Left,Foot Off,0.8,The instant the toe leaves the ground
HC032A,Left,Foot Off,1.89,The instant the toe leaves the ground
HC032A,Right,Foot Strike,1.76,The instant the heel strikes the ground
HC032A,Right,Foot Strike,0.69,The instant the heel strikes the ground
HC032A,Right,Foot Strike,2.83,The instant the heel strikes the ground
HC032A,Right,Foot Strike,3.88,The instant the heel strikes the ground
HC032A,Right,Foot Off,2.43,The instant the toe leaves the ground
HC032A,Right,Foot Off,1.32,The instant the toe leaves the ground
HC032A,Right,Foot Off,3.49,The instant the toe leaves the ground

Devices
1000
,,Imported Force Plate - Force,,,Imported Force Plate - Moment,,,Imported Force Plate - CoP,,,Imported Force Plate - Force,,,Imported Force Plate - Moment,,,Imported Force Plate - CoP,,,Imported Analog Device - Voltage,,,,,,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,L Rect,R Rect,L Hams,R Hams,L Gast,R Gast,L Tib Ant,R Tib Ant,L Spare,R Spare,L Tib Post,R Tib Post
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V,V,V
55,2,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00213623,-0.00102997,0.00556946,-0.00198364,-0.0221252,-0.00102997,-0.017128,-0.000762939,0.000305176,0.000648499,-7.62939e-005,0.000343323
55,3,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00286102,-0.00114441,0.00923157,-0.00175476,0.00827789,-0.00114441,-0.0365448,-0.00087738,0.000419617,0.00087738,0.000114441,0.000572205
55,4,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,0.00160217,-0.000419617,0.00953674,-0.0018692,0.0435638,-0.00110626,-0.0207901,-0.000953674,0.00179291,0.00259399,0.00164032,0.0018692
55,5,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.000839233,-0.00110626,0.00934601,-0.00156403,0.0822449,-0.00114441,-0.00541687,0.000190735,0.00167847,0.000343323,0.000343323,0.000610352
55,6,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00320435,-0.00125885,0.00507355,-0.00179291,0.0489426,-0.00110626,0.0247192,-0.000953674,0.000724792,0.00102997,0.000534058,0.000762939
55,7,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,-0.00148773,-0.000114441,0.0141525,-0.0018692,0.00263214,-0.000801086,0.0360489,-0.00087738,0.001297,0.0037384,0.00102997,0.00179291
55,8,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,0.00160217,-0.0012207,0.00751495,-0.00167847,-0.0101852,-0.000762939,0.00564575,-0.000801086,0.000953674,0.00148773,0.00087738,0.000953674
55,9,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,0.0147629,-0.000991821,0.000114441,-0.00385284,-0.00270844,-0.00106812,-0.0108719,-0.000762939,0.000343323,0.000724792,0.000152588,0.000419617
56,0,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,0.0136566,-0.00114441,0.00350952,-0.00148773,-0.00347137,-0.000762939,-0.00907898,-0.000953674,0.00110626,0.00167847,0.000724792,0.00087738
56,1,0,0,0,0,0,0,232,254,0,0,0,0,0,0,0,232,-324,0,0.00976563,-0.000953674,0.000915527,-0.00152588,-0.025444,-0.00102997,-0.00694275,-0.000915527,0.000801086,0.00110626,0.000495911,0.000839233
